City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ossora,100.0,RU,1574563054,88,59.24,163.07,20.26,2.71
haines junction,83.0,CA,1574563054,95,60.75,-137.51,16.92,6.91
ondangwa,72.0,NA,1574563054,44,-17.91,15.98,75.96,13.49
skagen,100.0,SE,1574563054,100,58.6,13.44,37.99,8.05
luoyang,100.0,CN,1574563055,34,34.66,112.42,50.86,14.09
walvis bay,0.0,NA,1574563055,86,-22.95,14.51,57.99,13.44
saint-denis,90.0,FR,1574563055,93,48.94,2.36,50,3.36
deputatskiy,100.0,RU,1574563055,93,69.3,139.9,-26.23,4.52
tigil,100.0,RU,1574563055,93,57.8,158.67,23.67,23.69
manadhoo,6.0,MV,1574563055,78,5.77,73.38,83.46,18.97
anadyr,20.0,RU,1574563055,76,64.73,177.51,-9.4,6.71
bukachacha,0.0,RU,1574563056,71,52.99,116.91,-4.56,2.73
cape coast,0.0,GH,1574563056,80,5.11,-1.24,81.91,10.02
barcelos,49.0,BR,1574563056,86,-0.97,-62.93,73.92,0.16
kupang,20.0,ID,1574563056,58,-10.16,123.6,87.8,4.7
carbonia,40.0,IT,1574563056,100,39.17,8.53,55,3.36
matara,100.0,BI,1574563056,97,-3.48,29.48,55.74,1.5
kailua,90.0,US,1574563056,65,21.39,-157.74,82.4,20.8
meulaboh,83.0,ID,1574563057,80,4.14,96.13,80.89,7.96
gorin,0.0,BF,1574563057,21,12.34,-0.67,78.19,6.98
sangod,67.0,IN,1574563057,43,24.93,76.29,71.19,3.8
vengurla,0.0,IN,1574563057,60,15.86,73.64,76.51,8.59
zhezkazgan,75.0,KZ,1574563057,84,47.8,67.71,1.4,4.47
berlevag,95.0,NO,1574563057,88,70.86,29.09,39.31,20.45
buraydah,0.0,SA,1574563057,93,26.33,43.97,57.2,4.7
yenagoa,0.0,NG,1574563058,95,4.92,6.26,75.47,3.2
hoi an,20.0,VN,1574563058,62,15.88,108.33,86,1.12
birjand,90.0,IR,1574563058,55,32.86,59.22,32,4.7
baykit,100.0,RU,1574563058,96,61.68,96.39,2.59,3.49
kwinana,100.0,AU,1574563058,36,-32.25,115.77,84,8.05
crowley,1.0,US,1574563059,81,30.21,-92.37,55.99,4.7
sorland,100.0,NO,1574563059,93,67.67,12.69,44.78,19.75
pareora,36.0,NZ,1574563059,60,-44.49,171.21,64.99,8.01
cibitoke,100.0,BI,1574563059,93,-2.89,29.12,59.59,0.81
mantua,75.0,IT,1574563059,71,45.16,10.79,57.2,9.17
cuamba,100.0,MZ,1574563059,77,-14.8,36.54,74.16,2.28
cowra,100.0,AU,1574563060,41,-33.84,148.69,80.01,4
buckeye,1.0,US,1574563120,71,33.37,-112.58,62.6,3.36
kaili,33.0,ID,1574563120,69,-3.46,120.21,73.27,2.89
saint-georges,3.0,CA,1574563120,79,46.12,-70.67,30,1.01
foix,89.0,FR,1574563120,87,42.97,1.61,50,14.99
aripuana,100.0,BR,1574563120,98,-9.17,-60.63,72.16,0.83
ust-nera,25.0,RU,1574563120,93,64.57,143.24,-37.21,1.79
richards bay,100.0,ZA,1574563121,92,-28.77,32.06,73.58,26.06
eregli,100.0,TR,1574563121,45,37.51,34.05,42.01,1.99
merauke,100.0,ID,1574563121,41,-8.49,140.4,93.58,7.72
rawson,100.0,AR,1574563121,53,-43.3,-65.11,62.46,31.12
ambilobe,99.0,MG,1574563121,84,-13.19,49.05,77.77,6.04
nieuw amsterdam,0.0,SR,1574563121,88,5.88,-55.08,80.01,4.7
sidi ali,0.0,DZ,1574563121,63,36.1,0.42,54.91,16.24
rafsanjan,0.0,IR,1574563122,61,30.4,55.99,39.04,3.96
sayyan,26.0,YE,1574563122,76,15.17,44.32,51.4,1.39
ginda,66.0,IN,1574563122,31,30.69,78.49,55.58,2.93
surt,100.0,LY,1574563122,46,31.21,16.59,63.57,13.58
buala,100.0,SB,1574563122,61,-8.15,159.59,85.41,2.68
chapadinha,90.0,BR,1574563122,94,-3.74,-43.35,73.74,1.68
cockburn town,28.0,TC,1574563122,68,21.46,-71.14,79.36,15.93
den helder,90.0,NL,1574563123,100,52.96,4.76,42.01,9.17
kautokeino,9.0,NO,1574563123,84,69.01,23.04,13.64,1.68
rolla,1.0,US,1574563123,80,37.95,-91.77,37,8.05
la palma,63.0,CO,1574563123,94,5.36,-74.39,67.28,1.99
toora-khem,71.0,RU,1574563123,80,52.47,96.11,-1.68,2.44
rokytne,99.0,UA,1574563124,40,51.27,27.23,26.46,10.11
sisimiut,100.0,GL,1574563124,80,66.94,-53.67,26.26,13.11
chirongui,40.0,YT,1574563124,83,-12.93,45.15,82.4,3.36
olinda,0.0,AU,1574563124,40,-37.84,145.39,79,11.41
gemena,100.0,CD,1574563124,97,3.25,19.78,71.04,2.35
barkly west,0.0,ZA,1574563124,17,-28.54,24.52,64.4,9.17
fuling,100.0,CN,1574563124,96,29.71,107.39,49.55,2.08
anloga,20.0,GH,1574563124,88,5.79,0.9,80.6,5.82
airai,0.0,TL,1574563125,29,-8.93,125.41,88,7.96
kotma,86.0,IN,1574563125,48,23.2,81.98,65.89,3.56
ibipeba,100.0,BR,1574563125,65,-11.64,-42.01,74.73,2.44
konevo,100.0,BG,1574563125,89,41.67,25.61,52,3.13
reconquista,0.0,AR,1574563125,68,-29.14,-59.64,66.34,10.36
ketchikan,90.0,US,1574563125,87,55.34,-131.65,46.4,17.22
nouadhibou,0.0,MR,1574563125,82,20.93,-17.03,66.2,18.34
san joaquin,0.0,PH,1574563126,65,10.59,122.14,86.95,11.83
suluq,28.0,LY,1574563126,67,31.67,20.25,60.57,16.87
grand gaube,75.0,MU,1574563126,88,-20.01,57.66,78.01,6.73
kiunga,88.0,PG,1574563126,36,-6.12,141.3,93.34,3.87
vinh,13.0,VN,1574563126,77,18.67,105.69,75.25,0.94
moyale,79.0,ET,1574563126,81,3.52,39.05,69.69,9.69
yelahanka,75.0,IN,1574563126,100,13.1,77.6,73.99,2.24
neuquen,40.0,AR,1574563127,49,-38.95,-68.06,68,3.36
amga,100.0,RU,1574563127,91,60.89,131.98,-13.09,6.6
gobabis,61.0,NA,1574563127,20,-22.45,18.97,70.5,7.81
araouane,0.0,ML,1574563127,16,18.9,-3.53,68.05,6.58
nishihara,75.0,JP,1574563127,88,35.74,139.53,70,10.29
chimichagua,100.0,CO,1574563127,96,9.26,-73.81,73.8,2.48
partur,8.0,IN,1574563127,57,19.59,76.21,70.7,4.12
bonnyville,20.0,CA,1574563127,64,54.27,-110.74,35.6,8.05
tabas,100.0,IR,1574563128,80,33.6,56.92,41,4.7
chabahar,0.0,IR,1574563188,31,25.29,60.65,68.65,4.21
san juan,0.0,AR,1574563178,50,-31.54,-68.53,77.74,22.66
malanje,100.0,AO,1574563188,97,-9.54,16.35,63.32,1.72
coromandel,5.0,BR,1574563188,89,-18.47,-47.2,66.33,1.81
whitehorse,90.0,CA,1574563189,69,60.72,-135.06,33.8,10.29
ostrovnoy,100.0,RU,1574563189,93,68.05,39.51,26.35,16.33
kristiansund,79.0,NO,1574563189,66,63.12,7.73,39.2,16.11
ranong,20.0,TH,1574563189,74,9.96,98.62,84.2,3.36
nanortalik,0.0,GL,1574563189,64,60.14,-45.24,33.87,7.74
adre,0.0,TD,1574563189,21,13.47,22.2,65.93,11.18
dongzhen,100.0,CN,1574563189,87,43.33,129.73,25.52,4.81
batagay,20.0,RU,1574563189,94,67.65,134.64,-37.32,1.83
kharan,0.0,PK,1574563190,51,28.58,65.42,52.86,7.52
baruun-urt,0.0,MN,1574563190,65,46.68,113.28,0.57,12.03
aquiraz,75.0,BR,1574563190,78,-3.9,-38.39,86,8.05
marsh harbour,85.0,BS,1574563190,65,26.54,-77.06,75.07,10.31
kota belud,75.0,MY,1574563190,74,6.35,116.43,87.01,4.7
tevriz,100.0,RU,1574563190,96,57.51,72.4,13.66,3.29
priargunsk,0.0,RU,1574563190,77,50.37,119.09,-0.51,5.35
sambava,100.0,MG,1574563191,93,-14.27,50.17,75.54,0.54
kargopol,54.0,RU,1574563191,72,61.51,38.95,17.58,4.61
conde,24.0,BR,1574563191,81,-11.81,-37.61,79.02,20.18
grindavik,75.0,IS,1574563191,100,63.84,-22.43,35.6,2.24
energeticheskiy,90.0,KZ,1574563191,100,43.43,77.02,28.4,4.47
alice springs,38.0,AU,1574563191,8,-23.7,133.88,89.6,13.87
dembi dolo,100.0,ET,1574563191,97,8.53,34.8,63.91,2.04
halchiu,98.0,RO,1574563192,88,45.77,25.55,37.99,4
goderich,100.0,CA,1574563192,88,43.74,-81.71,35.01,5.01
maceio,20.0,BR,1574563192,88,-9.67,-35.74,73.4,4.7
san ramon de la nueva oran,11.0,AR,1574563192,76,-23.13,-64.33,70.9,2.3
bonthe,34.0,SL,1574563192,83,7.53,-12.5,79.83,4.5
okha,29.0,RU,1574563192,81,53.59,142.95,9.21,19.55
nouakchott,0.0,MR,1574563192,59,18.08,-15.98,64.4,9.17
sarangani,100.0,PH,1574563192,71,5.4,125.46,83.23,4.7
nerchinskiy zavod,0.0,RU,1574563193,69,51.31,119.61,-1.08,6.67
adrar,0.0,DZ,1574563193,44,27.87,-0.29,59,6.93
manitouwadge,100.0,CA,1574563193,95,49.12,-85.84,30.72,4.88
gizo,0.0,IL,1574563193,76,31.8,34.94,60.01,1.12
kozhva,98.0,RU,1574563193,97,65.11,57.05,27.91,5.86
ramchandrapur,19.0,IN,1574563193,93,22.9,88.48,66.2,3
port hardy,90.0,CA,1574563178,93,50.7,-127.42,50,10.29
xining,100.0,CN,1574563193,63,36.62,101.77,21.18,2.93
jalapa,0.0,GT,1574563193,82,14.63,-89.98,66.2,13.87
beloha,0.0,MG,1574563194,76,-25.17,45.06,68,9.98
osypenko,55.0,UA,1574563194,67,48.04,34.39,19.4,11.18
beihai,75.0,CN,1574563194,74,38.95,121.19,35.6,15.66
makakilo city,90.0,US,1574563194,78,21.35,-158.09,82.4,10.29
talakan,96.0,RU,1574563194,79,50.29,130.28,0.19,6.98
karwar,0.0,IN,1574563194,61,14.8,74.13,76.37,7.4
ondjiva,42.0,AO,1574563195,30,-17.07,15.73,71.53,7.58
dubrovytsya,100.0,UA,1574563195,41,51.57,26.57,27.03,11.16
port augusta,0.0,AU,1574563195,49,-32.49,137.76,73.4,10.29
aksarka,0.0,RU,1574563195,81,66.56,67.8,-6.86,5.03
hervey bay,75.0,AU,1574563195,39,-25.3,152.85,82.4,14.99
heze,100.0,CN,1574563255,52,35.25,115.45,58.03,19.91
